anio,categoria,frecuencias,proporcion,n
2010,Asalariado,5380095.164621366,0.7530166418049264,33831
2010,Cuenta propia,1422838.782913125,0.19914541459871246,9491
2010,Empleador,341788.8460091776,0.04783794359636111,2092
2011,Asalariado,5602831.949411118,0.768405352340322,33343
2011,Cuenta propia,1372348.51646405,0.18821195332087576,9117
2011,Empleador,316325.1598296063,0.04338269433880212,1829
2012,Asalariado,5764796.525212678,0.7702342356953968,33025
2012,Cuenta propia,1373715.7589729861,0.18354210821625566,9087
2012,Empleador,345959.65701284626,0.04622365608834746,1910
2013,Asalariado,5894738.139809535,0.7638550656366636,32549
2013,Cuenta propia,1472793.5010921285,0.19084830398968822,9279
2013,Empleador,349558.1644743667,0.04529663037364819,1905
2014,Asalariado,5936753.420265994,0.7608532934665437,33065
2014,Cuenta propia,1535425.055425933,0.1967798100395973,9238
2014,Empleador,330578.60145417426,0.04236689649385895,1915
2015,Asalariado,6075572.677747464,0.7610882923775656,32275
2015,Cuenta propia,1577606.0166771985,0.19762704406041018,9295
2015,Empleador,329564.8828914041,0.0412846635620243,1724
2016,Asalariado,6075554.332906327,0.7517997481902441,31862
2016,Cuenta propia,1651427.9221850089,0.20435058729186248,9442
2016,Empleador,354364.3369121754,0.04384966451789343,1703
2017,Asalariado,6230345.498698579,0.7445946665808915,32370
2017,Cuenta propia,1753160.0782585617,0.2095218706902433,9456
2017,Empleador,383926.7702388697,0.04588346272886526,1845
2018,Asalariado,6369507.911688475,0.7484621558370071,32568
2018,Cuenta propia,1742001.331353585,0.20469745701127706,9746
2018,Empleador,398617.63780930184,0.04684038715171586,1875
2019,Asalariado,6529423.647721457,0.7513300275227696,29743
2019,Cuenta propia,1769508.4502083962,0.2036144236192718,9074
2019,Empleador,391554.6502835716,0.04505554885795859,1706
2020,Asalariado,5834049.69602794,0.7726739871057391,18909
2020,Cuenta propia,1486716.013130546,0.19690384028467245,5281
2020,Empleador,229701.62038235032,0.030422172609588533,903
2021,Asalariado,6174828.49181364,0.749198945044865,27183
2021,Cuenta propia,1783713.4519253012,0.2164199763955326,8607
2021,Empleador,283365.673261063,0.03438107855960246,1333
2022,Asalariado,6554901.756804604,0.7643956447515504,26622
2022,Cuenta propia,1735112.355255964,0.2023390092971915,8163
2022,Empleador,285259.4413819396,0.03326534595125813,1208
2023,Asalariado,6725715.574663015,0.7604300978569312,29206
2023,Cuenta propia,1838739.289814588,0.20789352189594312,8948
2023,Empleador,280165.5596976703,0.03167638024712571,1343
2024,Asalariado,6791293.205020019,0.7683199168283845,25839
2024,Cuenta propia,1773177.1159559858,0.2006049883468817,7623
2024,Empleador,274677.352111005,0.031075094824733925,1159
