empresa,nombre,grupo,anio,indicador,valor,fuente
cencosud,Cencosud S.A.,Paulmann,2009,patrimonio,2579126782000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,patrimonio_real,4891424844514.626,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,activos,5591070312000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,ingresos,5512418996000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,utilidad,247545730000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,margen_bruto,0.267245,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,margen_neto,0.044907,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,roa,0.044275,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,roe,0.097331,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,rotacion_activos,0.985933,xbrl
cencosud,Cencosud S.A.,Paulmann,2009,excedente_capital,0.571187,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,patrimonio,2689593179000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,patrimonio_real,4979069028726.064,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,activos,6352533327000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,ingresos,6194714586000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,utilidad,306481378000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,margen_bruto,0.281816,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,margen_neto,0.049475,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,roa,0.048246,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,roe,0.113306,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,rotacion_activos,0.975157,xbrl
cencosud,Cencosud S.A.,Paulmann,2010,excedente_capital,0.649084,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,patrimonio,2969634204000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,patrimonio_real,5263825108300.2,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,activos,7504552411000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,ingresos,7569195555000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,utilidad,298426131000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,margen_bruto,0.282638,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,margen_neto,0.039426,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,roa,0.039766,xbrl
