anio,indice,deflactor,inflacion_anual
2009,0.512317,1.896543,
2010,0.524856,1.851235,2.45
2011,0.548155,1.77255,4.44
2012,0.556247,1.746762,1.48
2013,0.573055,1.69553,3.02
2014,0.599645,1.620345,4.64
2015,0.625968,1.552208,4.39
2016,0.642863,1.511414,2.7
2017,0.657448,1.477884,2.27
2018,0.674344,1.440856,2.57
2019,0.694531,1.398975,2.99
2020,0.715251,1.358448,2.98
2021,0.766562,1.267518,7.17
2022,0.864472,1.123959,12.77
2023,0.898532,1.081354,3.94
2024,0.939262,1.034463,4.53
2025,0.971632,1.0,3.45
